time,EUR_USD
2017:01:11 2:00:00,1.05584
2017:01:11 2:30:00,1.05482
2017:01:11 3:00:00,1.05461
2017:01:11 3:30:00,1.0548
2017:01:11 4:00:00,1.05457
2017:01:11 4:30:00,1.05448
2017:01:11 5:00:00,1.05504
2017:01:11 5:30:00,1.05472
2017:01:11 6:00:00,1.05503
2017:01:11 6:30:00,1.05506
2017:01:11 7:00:00,1.05622
2017:01:11 7:30:00,1.056
2017:01:11 8:00:00,1.0558
2017:01:11 8:30:00,1.05576
2017:01:11 9:00:00,1.05578
2017:01:11 9:30:00,1.05464
2017:01:11 10:00:00,1.05357
2017:01:11 10:30:00,1.05197
2017:01:11 11:00:00,1.05225
2017:01:11 11:30:00,1.05205
2017:01:11 12:00:00,1.0519
2017:01:11 12:30:00,1.05078
2017:01:11 13:00:00,1.0502
2017:01:11 13:30:00,1.05068
2017:01:11 14:00:00,1.0513
2017:01:11 14:30:00,1.04918
2017:01:11 15:00:00,1.04809
2017:01:11 15:30:00,1.04563
2017:01:11 16:00:00,1.04744
2017:01:11 16:30:00,1.0503
2017:01:11 17:00:00,1.04996
2017:01:11 17:30:00,1.05154
2017:01:11 18:00:00,1.05588
2017:01:11 18:30:00,1.06104
2017:01:11 19:00:00,1.06041
2017:01:11 19:30:00,1.05853
2017:01:11 20:00:00,1.05768
2017:01:11 20:30:00,1.05724
2017:01:11 21:00:00,1.05734
2017:01:11 21:30:00,1.05843
2017:01:11 22:00:00,1.05818
2017:01:11 22:30:00,1.05832
2017:01:11 23:00:00,1.05836
2017:01:11 23:30:00,1.05818
2017:01:12 0:00:00,1.05946
2017:01:12 0:30:00,1.05872
2017:01:12 1:00:00,1.05818
2017:01:12 1:30:00,1.05822
2017:01:12 2:00:00,1.05838
2017:01:12 2:30:00,1.05976
2017:01:12 3:00:00,1.0599
2017:01:12 3:30:00,1.06017
2017:01:12 4:00:00,1.0611
2017:01:12 4:30:00,1.06056
2017:01:12 5:00:00,1.06002
2017:01:12 5:30:00,1.05964
2017:01:12 6:00:00,1.06115
2017:01:12 6:30:00,1.06094
2017:01:12 7:00:00,1.06375
2017:01:12 7:30:00,1.06358
2017:01:12 8:00:00,1.06298
2017:01:12 8:30:00,1.06414
2017:01:12 9:00:00,1.06432
2017:01:12 9:30:00,1.06356
2017:01:12 10:00:00,1.0641
2017:01:12 10:30:00,1.06273
2017:01:12 11:00:00,1.06383
2017:01:12 11:30:00,1.06488
2017:01:12 12:00:00,1.06522
2017:01:12 12:30:00,1.06716
2017:01:12 13:00:00,1.06747
2017:01:12 13:30:00,1.06639
2017:01:12 14:00:00,1.06528
2017:01:12 14:30:00,1.06413
2017:01:12 15:00:00,1.06584
2017:01:12 15:30:00,1.06598
2017:01:12 16:00:00,1.06529
2017:01:12 16:30:00,1.06574
2017:01:12 17:00:00,1.06655
2017:01:12 17:30:00,1.06549
2017:01:12 18:00:00,1.06488
2017:01:12 18:30:00,1.06403
2017:01:12 19:00:00,1.06416
2017:01:12 19:30:00,1.06389
2017:01:12 20:00:00,1.06264
2017:01:12 20:30:00,1.06197
2017:01:12 21:00:00,1.06234
2017:01:12 21:30:00,1.06172
2017:01:12 22:00:00,1.06146
2017:01:12 22:30:00,1.06191
2017:01:12 23:00:00,1.06128
2017:01:12 23:30:00,1.06088
2017:01:13 0:00:00,1.06156
2017:01:13 0:30:00,1.06114
2017:01:13 1:00:00,1.06098
2017:01:13 1:30:00,1.06168
2017:01:13 2:00:00,1.06162
